word,vens-a,vens-b
overexposed,ōveréxpōsed,ō̳veréxpō̱sḛd
overexposes,ōveréxpōsés,ō̳veréxpō̱sés
overexposing,ōveréxpōsíng,ō̳veréxpō̱síng
overexposure,ōveréxpōsure,ō̳veréxpō̱surḛ
overextend,ōveréxtẽnd,ō̳veréxtẽ̱nd
overextended,ōveréxtẽndéd,ō̳veréxtẽ̱ndéd
overextending,ōveréxtẽndíng,ō̳veréxtẽ̱ndíng
overextends,ōveréxtẽnds,ō̳veréxtẽ̱nds
overfed,ōverfẽd,ō̳verfẽ̱d
overfeed,ōverfếed,ō̳verfế̱ḛd
overfelt,ōverfẽlt,ō̱verfẽ̳lt
overfield,ōverfïeld,ō̱verfï̳ḛld
overfill,ōverfíll,ō̱verfí̳ll
overfishing,ōverfíshíng,ō̱verfí̳shíng
overflight,ōverflīght,ō̱verflī̳g̰h̰t
overflights,ōverflīghts,ō̱verflī̳g̰h̰ts
overflow,ōverflow,ō̳verflo̱w
overflowed,ōverflowed,ō̳verflo̱wḛd
overflowing,ōverflowíng,ō̱verflo̳wíng
overflows,ōverflows,ō̱verflo̳ws
overfly,ōverflȳ,ō̳verflȳ̱
overflying,ōverflȳíng,ō̳verflȳ̱íng
overfund,ōverfùnd,ō̱verfù̳nd
overfunded,ōverfùndéd,ō̱verfù̳ndéd
overfunding,ōverfùndíng,ō̱verfù̳ndíng
overgaard,ōvergầard,ō̱vergầ̳a̰rd
overgenerous,ōvergẽnerous,ō̱vergẽ̳nerous
overgrazing,ōvergrāzíng,ō̱vergrā̳zíng
overgrowing,ōvergrōwíng,ō̳vergrō̱wíng
overgrown,ōvergrown,ō̳vergro̱wn
overgrowth,ōvergrowth,ō̱vergrowth
overhang,ōverhẫng,ō̱verhẫ̳ng
overhanging,ōverhẫngíng,ō̱verhẫ̳ngíng
overhangs,ōverhẫngs,ō̱verhẫ̳ngs
overhaul,ōverhaul,ō̱verha̳ul
overhauled,ōverhauled,ō̱verha̳ulḛd
overhauling,ōverhaulíng,ō̱verha̳ulíng
overhauls,ōverhauls,ō̱verha̳uls
overhead,ōverheãd,ō̱verhḛã̱d
overheads,ōverheãds,ō̱verhḛã̳ds
overhear,ōverhear,ō̱verhe̱ar
overheard,ōverheard,ō̱verhḛa̱rd
overhearing,ōverhearíng,ō̳verhe̱aríng
overhears,ōverhears,ō̱verhe̱ars
overheat,ōverhếat,ō̱verhế̳a̰t
overheated,ōverhếatéd,ō̱verhế̳a̰téd
overheating,ōverhếatíng,ō̱verhế̳a̰tíng
overheats,ōverhếats,ō̱verhế̳a̰ts
overholser,ōverhōlser,ō̱verhō̳lser
overholt,ōverhōlt,ō̱verhōlt
overholtzer,ōverhōltzer,ō̱verhōltzer
overhung,ōverhùng,ōverhù̱ng
overjoyed,ōverjoyed,ō̳verjo̱yḛd
overkill,ōverkíll,ō̱verkí̳ll
overkilling,ōverkíllíng,ō̱verkí̳llíng
overlaid,ōverlaid,ō̱verla̳id
overlain,ōverlain,ō̱verla̳in
overland,ōverlạnd,ō̱verlạnd
overlap,ōverlẫp,ō̱verlẫ̳p
overlapped,ōverlẫpped,ō̱verlẫ̳pped
overlapping,ōverlẫppíng,ō̱verlẫ̳ppíng
overlaps,ōverlẫps,ō̱verlẫ̳ps
overlay,ōverlay,ō̱verla̳y
overlays,ōverlays,ō̱verla̳ys
overleverage,ōverlẽveráge,ō̳verlẽ̱vḛrágḛ
overleveraged,ōverlẽveráged,ō̱verlẽ̱vḛrágḛd
overley,ōverleÿ,ō̱verlḛÿ
overload,ōverlōad,ō̱verlō̳a̰d
overloaded,ōverlōadéd,ō̱verlō̳a̰déd
overloading,ōverlōadíng,ō̱verlō̳a̰díng
overloads,ōverlōads,ō̱verlō̳a̰ds
overlock,ōverlồck,ō̱verlồ̳ck
overlook,ōverlook,ō̱verlo̳ok
overlooked,ōverlooked,ō̱verlo̳oked
overlooking,ōverlookíng,ō̱verlo̳okíng
overlooks,ōverlooks,ō̱verlo̳oks
overlord,ōverlổrd,ō̱verlổ̳rd
overlords,ōverlổrds,ō̱verlổ̳rds
overly,ōverlÿ,ō̱verlÿ
overlying,ōverlȳíng,ō̳verlȳ̱íng
overman,ōvermạn,ō̱vermạn
overmatch,ōvermẫtch,ō̳vermẫ̱t̰ch
overmatched,ōvermẫtched,ō̱vermẫ̱t̰ched
overmyer,ōvermÿer,ō̱vermÿer
overnight,ōvernīght,ō̱vernī̱g̰h̰t
overnighter,ōvernīghter,ō̳vernī̱g̰h̰ter
overnighters,ōvernīghters,ō̳vernī̱g̰h̰ters
overnite,ōvernīte,ō̱vernī̱tḛ
overoptimism,ōverồptímísm,ō̳verồ̱ptímí̳sm
overpaid,ōverpaid,ō̱verpa̱id
overpass,ōverpẫss,ō̱verpẫ̳ss
overpasses,ōverpẫssés,ō̱verpẫ̳ssés
overpay,ōverpay,ō̱verpa̳y
overpaying,ōverpayíng,ō̱verpa̳yíng
overpayment,ōverpaymẹnt,ō̱verpa̳ymẹnt
overpayments,ōverpaymẹnts,ō̱verpa̳ymẹnts
overpeck,ōverpẽck,ō̱verpẽ̳ck
overplay,ōverplay,ō̱verpla̱y
overplayed,ōverplayed,ō̱verpla̱yḛd
overplaying,ōverplayíng,ō̱verpla̱yíng
overplays,ōverplays,ō̱verpla̱ys
overpopulate,ōverpồpulāte,ō̳verpồ̱pulātḛ
overpopulated,ōverpồpulātéd,ō̳verpồ̱pulātéd
overpopulates,ōverpồpulātes,ō̳verpồ̱pulātḛs
overpopulating,ōverpồpulātíng,ō̳verpồ̱pulātíng
overpopulation,ōverpồpulātiọn,ō̳verpồ̳pulā̱tiọn
overpower,ōverpower,ō̳verpo̱wer
overpowered,ōverpowered,ō̳verpo̱werḛd
overpowering,ōverpoweríng,ō̱verpo̱wḛríng
overpowers,ōverpowers,ō̳verpo̱wers
overprice,ōverprīce,ō̳verprī̱cḛ
overpriced,ōverprīced,ō̱verprī̳ced
overprices,ōverprīcés,ō̳verprī̱cés
overpricing,ōverprīcíng,ō̳verprī̱cíng
overproduce,ōverprọdüce,ō̱verprọdü̱cḛ
overproduced,ōverprọdüced,ō̱verprọdü̱ced
overproducer,ōverprọdücer,ō̱verprọdü̱cer
overproducers,ōverprọdücers,ō̱verprọdü̱cers
overproducing,ōverprọducíng,ō̳verprọdu̱cíng
overproduction,ōverprọdùctiọn,ō̱verprọdù̱ctiọn
overprotect,ōverprọtẽct,ō̳verprọtẽ̱ct
overprotected,ōverprọtẽctéd,ō̳verprọtẽ̱ctéd
overprotection,ōverprọtẽctiọn,ō̳verprọtẽ̱ctiọn
overprotective,ōverprọtẽctịve,ō̳verprọtẽ̱ctịvḛ
overqualified,ōverqüầlịfīed,ō̱verqüầ̳lịfī̳ḛd
overqualify,ōverqüầlífȳ,ō̱verqüầ̳lífȳ̳
overran,ōverrẫn,ō̱verrẫ̱n
overrate,ōverrāte,ō̳verrā̱tḛ
overrated,ōverrātéd,ō̳verrā̱téd
overrates,ōverrātes,ō̳verrā̱tḛs
overrating,ōverrātíng,ō̳verrā̱tíng
overreach,ōverrếach,ō̱verrế̳a̰ch
overreached,ōverrếached,ō̱verrế̳a̰ched
overreaches,ōverrếachés,ō̱verrế̳a̰chés
overreaching,ōverrếachíng,ō̱verrế̳a̰chíng
overreact,ōverrếẫct,ō̱verrếẫ̱ct
overreacted,ōverrếẫctéd,ō̱verrếẫ̳ctéd
overreacting,ōverrếẫctíng,ō̱verrếẫ̳ctíng
overreaction,ōverrếẫctiọn,ō̱verrếẫ̳ctiọn
overreacts,ōverrếẫcts,ō̱verrếẫ̱cts
overregulate,ōverrẽgulāte,ō̱verrẽ̱gulā̳tḛ
overregulated,ōverrẽgulātéd,ō̳verrẽ̱gulā̳téd
overregulates,ōverrẽgulātes,ō̱verrẽ̱gulā̳tḛs
overregulation,ōverrẽgulātiọn,ō̳verrẽ̳gulā̱tiọn
overreliance,ōverrélīạnce,ō̱verrélī̳ạncḛ
overrepresent,ōverrẽprẹsẽnt,ō̱verrẽ̳prẹsẽ̱nt
overrepresented,ōverrẽprẹsẽntéd,ō̱verrẽ̳prẹsẽ̱ntéd
overridden,ōverríddẹn,ō̱verrí̱dd̰ẹn
override,ōverrīde,ō̱verrī̳dḛ
overrides,ōverrīdes,ō̱verrī̳dḛs
overriding,ōverrīdíng,ō̱verrī̳díng
overripe,ōverrīpe,ō̱verrī̱pḛ
overrode,ōverrōde,ō̱verrō̱dḛ
overrule,ōverrüle,ō̱verrü̳lḛ
overruled,ōverrüled,ō̳verrü̱lḛd
overrules,ōverrüles,ō̱verrü̳lḛs
overruling,ōverrülíng,ō̱verrü̳líng
overrun,ōverrùn,ō̱verrù̳n
overrunning,ōverrùnníng,ō̱verrù̳nníng
overruns,ōverrùns,ō̱verrù̳ns
overs,ōvers,ō̱vers
oversaw,ōversaw,ō̱versa̳w
oversea,ōversea,ō̳verse̱a
overseas,ōverseas,ō̱verse̱as
oversee,ōversếe,ō̱versế̳ḛ
overseeing,ōversếeíng,ō̱versế̳ḛíng
overseen,ōversếen,ō̱versế̳ḛn
overseer,ōversếer,ō̱versế̱er
overseers,ōversếers,ō̳versế̱ers
oversees,ōversếes,ō̱versế̳ḛs
oversell,ōversẽll,ō̱versẽ̳ll
overselling,ōversẽllíng,ō̱versẽ̳llíng
oversensitive,ōversẽnsịtíve,ō̳versẽ̱nsịtívḛ
oversensitivity,ōversẽnsịtívítÿ,ō̳versẽnsịtí̱vítÿ
overshadow,ōvershẫdow,ō̱vershẫ̱dow
overshadowed,ōvershẫdowed,ō̳vershẫ̱dowḛd
overshadowing,ōvershẫdowíng,ō̱vershẫ̱dowíng
overshadows,ōvershẫdows,ō̱vershẫ̱dows
overshoot,ōvershoot,ō̱versho̳ot
overshooting,ōvershootíng,ō̱versho̳otíng
overshot,ōvershồt,ō̱vershồ̳t
oversight,ōversīght,ō̱versī̳g̰h̰t
oversimplification,ōversímplífícātiọn,ōversí̱mplífícā̳tiọn
oversimplified,ōversímplífīed,ōversí̱mplífī̳ḛd
oversimplify,ōversímplífȳ,ōversí̱mplífȳ̳
oversimplifying,ōversímplífȳíng,ōversí̱mplífȳ̳íng
oversize,ōversīze,ō̳versī̱zḛ
oversized,ōversīzed,ō̱versī̳zḛd
oversizes,ōversīzés,ō̳versī̱zés
oversizing,ōversīzíng,ō̳versī̱zíng
oversleep,ōverslếep,ō̳verslế̱ḛp
overslept,ōverslẽpt,ō̳verslẽ̱pt
oversold,ōversōld,ō̱versō̱ld
overson,ōversọn,ō̱versọn
overspend,ōverspẽnd,ō̱verspẽ̳nd
overspending,ōverspẽndíng,ō̱verspẽ̳ndíng
overspends,ōverspẽnds,ō̱verspẽ̳nds
overspent,ōverspẽnt,ō̱verspẽ̱nt
overstaff,ōverstẫff,ō̱verstẫ̳ff
overstaffed,ōverstẫffed,ō̱verstẫ̳ffed
overstate,ōverstāte,ō̱verstā̳tḛ
overstated,ōverstātéd,ō̱verstā̳téd
overstatement,ōverstātemẹnt,ō̱verstā̳tḛmẹnt
overstatements,ōverstātemẹnts,ō̱verstā̳tḛmẹnts
overstates,ōverstātes,ō̱verstā̳tḛs
overstating,ōverstātíng,ō̱verstā̳tíng
overstay,ōverstay,ō̳versta̱y
overstayed,ōverstayed,ō̳versta̱yḛd
overstep,ōverstẽp,ō̱verstẽ̳p
overstepped,ōverstẽpped,ō̱verstẽ̳pped
overstepping,ōverstẽppíng,ō̱verstẽ̳ppíng
overstock,ōverstồck,ō̱verstồ̱ck
overstocked,ōverstồcked,ō̱verstồ̱cked
overstreet,ōverstrếet,ō̱verstrế̳ḛt
overstrom,ōverstrồm,ō̱verstrồ̱m
overstuff,ōverstùff,ō̱verstù̳ff
overstuffed,ōverstùffed,ō̱verstù̳ffed
oversubscribe,ōversụbscrībe,ō̳versụbscrī̱bḛ
oversubscribed,ōversụbscrībed,ō̳versụbscrī̱bḛd
oversupplied,ōversụpplīed,ō̳versụpplī̱ḛd
oversupply,ōversụpplȳ,ō̳versụpplȳ̱
overt,ōvert,ō̱vert
overtake,ōvertāke,ō̱vertā̳kḛ
overtaken,ōvertākẹn,ō̱vertā̳kẹn
overtakes,ōvertākes,ō̱vertā̳kḛs
overtaking,ōvertākíng,ō̱vertā̳kíng
overtax,ōvertẫx,ō̱vertẫ̳x
overtaxed,ōvertẫxed,ō̳vertẫ̱xed
overthrew,ōverthrew,ō̳verthre̱w
overthrow,ōverthrow,ō̱verthro̳w
overthrowing,ōverthrowíng,ō̱verthro̳wíng
overthrown,ōverthrown,ō̳verthro̱wn
overthrows,ōverthrows,ō̱verthro̳ws
overtime,ōvertīme,ō̱vertī̳mḛ
overtly,ōvertlÿ,ōve̱rtlÿ
overton,ōvertọn,ō̱vertọn
overtone,ōvertōne,ō̱vertō̳nḛ
overtones,ōvertōnes,ō̱vertō̳nḛs
overtook,ōvertook,ō̳verto̱ok
overtrain,ōvertrain,ōvertra̱in
overtraining,ōvertrainíng,ōvertra̱iníng
overture,ōverture,ō̱verturḛ
overtures,ōvertŭres,ō̱vertŭ̳rḛs
overturf,ōverturf,ō̱vertu̳rf
overturn,ōverturn,ō̱vertu̳rn
overturned,ōverturned,ō̱vertu̳rnḛd
overturning,ōverturníng,ō̱vertu̳rníng
overturns,ōverturns,ō̱vertu̳rns
overuse,ōveruse,ō̳veru̱sḛ
overused,ōverused,ō̳veru̱sḛd
overuses,ōverusés,ō̳veru̱sés
overusing,ōverusíng,ō̳veru̱síng
overvaluation,ōvervẫluātiọn,ō̳vervẫ̳luā̱tiọn
overvalue,ōvervẫlue,ō̱vervẫ̳luḛ
overvalued,ōvervẫlued,ō̱vervẫ̳luḛd
overview,ōvervïew,ō̱vervïḛw̳
overviews,ōvervïews,ō̱vervïḛw̳s
overweight,ōverweight,ō̳verwe̱ig̰h̰t
overweighted,ōverweightéd,ō̳verwe̱ig̰h̰téd
overwhelm,ōverwhẽlm,ō̳verwh̰ẽ̱lm
overwhelmability,ōverwhẽlmạbílịtÿ,ō̳verwh̰ẽlmạbí̱lịtÿ
overwhelmed,ōverwhẽlmed,ō̳verwh̰ẽ̱lmḛd
overwhelming,ōverwhẽlmíng,ō̳verwh̰ẽ̱lmíng
overwhelmingly,ōverwhẽlmínglÿ,ō̳verwh̰ẽ̱lmínglÿ
overwhelms,ōverwhẽlms,ō̳verwh̰ẽ̱lms
overwinter,ōverwínter,ō̳verwí̱nter
overwork,ōverwork,ō̳verwo̱rk
overworked,ōverworked,ō̳verwo̱rked
overworking,ōverworkíng,ō̳verwo̱rkíng
overworks,ōverworks,ō̳verwo̱rks
overwrite,ōverwrīte,ō̳verwrī̱tḛ
overwrites,ōverwrītes,ō̳verwrī̱tḛs
overwriting,ōverwrītíng,ō̳verwrī̱tíng
overwritten,ōverwríttẹn,ō̳verwrí̱ttẹn
overwrote,ōverwrōte,ō̳verwrō̱tḛ
overwrought,ōverwrought,ō̳verwro̱ug̰h̰t
overy,ōverÿ,ō̱verÿ
overzealous,ōverzeãlous,ō̳verzḛã̱lous
overzealously,ōverzeãlouslÿ,ō̳verzḛã̱louslÿ
oveson,ồvẹsọn,ồ̱vẹsọn
ovett,ōvẽtt,ō̳vẽ̱tt
ovett's,ōvẽtt's,ō̳vẽ̱tt'̰s
ovex,ōvẽx,ō̱vẽx
oviatt,ōvïầtt,ō̱vïầ̳tt
oviatt's,ōvïầtt's,ō̱vïầ̳tt'̰s
oviedo,ōvïēdō,ōvïē̱dō
oviparous,ōvíparous,ōví̱parous
ovitt,ōvítt,ō̱vítt
ovitt's,ōvítt's,ō̱vítt'̰s
ovitz,ōvítz,ōví̱tz
ovitz's,ōvítz's,ōví̱tz's
ovoid,ōvoid,ō̱vo̳id
ovonic,ōvồníc,ōvồ̱níc
ovoviviparous,ōvōvīvíparous,ō̳vō̳vī̳ví̱parous
ovshinsky,ồvshínskÿ,ồvshí̱nskÿ
ovulation,ōvulātiọn,ō̳vulā̱tiọn
ovulations,ōvulātiọns,ō̳vulā̱tiọns
ovule,ōvule,ō̱vulḛ
ovules,ōvules,ō̱vulḛs
ovum,ōvụm,ō̱vụm
ow,ow,o̱w
owada,owầdạ,owầ̱dạ
owades,owầdes,owầ̱dḛs
owczarzak,owczầrzạk,owczầ̱rzạk
owe,owe,o̱wḛ
owed,owed,o̱wḛd
owen,owẹn,o̱wẹn
owen's,owẹn's,o̱wẹn's
owenby,owénbÿ,o̱wénbÿ
owenby's,owénbÿ's,o̱wénbÿ's
owens,owẹns,o̱wẹns
owens's,owẹns's,o̱wẹns's
owensboro,owẹnsborō,o̱wẹnsborō
owensby,owénsbÿ,o̱wénsbÿ
owensby's,owénsbÿ's,o̱wénsbÿ's
owes,owes,o̱wḛs
owing,owíng,o̱wíng
owings,owíngs,o̱wíngs
owl,owl,o̱wl
owls,owls,o̱wls
own,own,o̱wn
ownbey,ownbeÿ,o̱wnbḛÿ
ownby,ownbÿ,o̱wnbÿ
owned,owned,o̱wnḛd
owner,owner,o̱wner
owner's,owner's,o̱wner's
owners,owners,o̱wners
owners',owners',o̱wners'̰
ownership,ownershíp,o̱wnershí̳p
owning,owníng,o̱wníng
owns,owns,o̱wns
owosso,owổssō,owổ̱ssō
owsley,owsleÿ,o̱wslḛÿ
owyhee,owýhếe,o̱wýhếḛ
ox,ồx,ồ̱x
oxalates,ồxạlātes,ồ̱xạlā̳tḛs
oxalis,ồxạlịs,ồ̱xạlịs
oxbow,ồxbow,ồ̱xbo̳w
oxbridge,ồxbrídge,ồ̱xbrí̳dgḛ
oxcart,ồxcầrt,ồ̱xcầ̳rt
oxdon,ồxdồn,ồ̱xdồ̳n
oxen,ồxẹn,ồ̱xẹn
oxendine,ồxéndīne,ồ̱xéndīnḛ
oxfam,ồxfẫm,ồ̱xfẫ̳m
oxfam's,ồxfẫm's,ồ̱xfẫ̳m's
oxford,ồxford,ồ̱xford
oxford's,ồxford's,ồ̱xford's
oxfords,ồxfords,ồ̱xfords
oxidant,ồxịdạnt,ồ̱xịdạnt
oxidants,ồxídạnts,ồ̱xídạnts
oxidase,ồxídāse,ồ̱xídā̳sḛ
oxidation,ồxịdātiọn,ồ̳xịdā̱tiọn
oxidative,ồxịdatíve,ồ̳xịda̱tívḛ
oxide,ồxīde,ồ̱xī̳dḛ
oxides,ồxīdes,ồ̱xī̳dḛs
oxidize,ồxịdīze,ồ̱xịdī̳zḛ
oxidized,ồxịdīzed,ồ̱xịdī̳zḛd
oxidizer,ồxídīzer,ồ̱xídī̳zer
oxidizing,ồxịdīzíng,ồ̱xịdī̳zíng
oxidyne,ồxídȳne,ồ̱xídȳ̳nḛ
oxley,ồxleÿ,ồ̱xlḛÿ
oxman,ồxmạn,ồ̱xmạn
oxnard,ồxnard,ồ̱xnard
oxner,ồxner,ồ̱xner
oxoco,ồxōcō,ồxō̱cō
oxton,ồxtọn,ồ̱xtọn
oxy,ồxÿ,ồ̱xÿ
oxydative,ồxỵdatíve,ồ̳xỵda̱tívḛ
oxygen,ồxýgẹn,ồ̱xýgẹn
oxygenate,ồxỵgẹnāte,ồ̱xỵgẹnā̳tḛ
oxygenated,ồxỵgẹnātéd,ồ̱xỵgẹnā̳téd
oxymoron,ồxÿmổrồn,ồ̳xÿ̱mổ̱rồn
oxytocin,ồxỵtōcịn,ồ̳xỵtō̱cịn
oy,oy,o̱y
oyama,ōyầmạ,ōyầ̱mạ
oye,oye,o̱yḛ
oyen,oyén,o̱yén
oyer,oyer,o̱yer
oyler,oyler,o̱yler
oyola,oyōlạ,o̳yō̱lạ
oyster,oyster,o̱yster
oysters,oysters,o̱ysters
oz,ồz,ồ̱z
ozaki,ōzầkï,ōzầ̱kï
ozal,ōzạl,ō̱zạl
ozal's,ōzầl's,ōzầ̱l's
ozanich,ọzẫních,ọzẫ̱ních
ozanne,ōzẫnne,ō̱zẫnnḛ
ozark,ōzầrk,ō̱zầ̳rk
ozarks,ōzầrks,ō̱zầ̳rks
ozawa,ōzầwạ,ōzầ̱wạ
ozbun,ồzbụn,ồ̱zbụn
ozburn,ồzburn,ồ̱zburn
ozelle,ọzẽlle,ọzẽ̱llḛ
ozga,ōzgạ,ō̱zgạ
ozick,ōzíck,ō̱zíck
ozick's,ōzíck's,ō̱zíck'̰s
ozier,ōzïer,ō̱zïer
ozimek,ọzímẽk,ọzí̱mẽk
ozment,ồzmẹnt,ồ̱zmẹnt
ozmet,ồzmẹt,ồ̱zmẹt
ozmun,ồzmụn,ồ̱zmụn
ozolins,ōzōlïns,ōzō̱lïns
ozols,ōzōls,ō̱zōls
ozone,ōzōne,ō̱zō̳nḛ
ozora,ọzổrạ,ọzổ̱rạ
ozuna,ōzünạ,ōzü̱nạ
ozzie,ồzzïe,ồ̱zzï̳ḛ
ozzy,ồzzÿ,ồ̱zzÿ̳
p,p,p̱
p's,p's,p̱'s
p.,p.,p.̱
p.'s,p.'s,p.̱'s
p.m.,p.m.,p.̱m̱.
p.s,p.s,p.̱s
pa,pầ,pầ̱
paap,pầap,pầ̱a̰p
paape,pầape,pầ̱a̰pḛ
paar,pầar,pầ̱a̰r
paasch,pầasch,pầ̱a̰sch̰
paavola,pầavōlạ,pầ̳a̰vō̱lạ
pablo,pầblō,pầ̱blō
pablum,pẫblụm,pẫ̱blụm
pabon,pầbổn,pầbổ̱n
pabst,pẫbst,pẫ̱bst
pac,pẫc,pẫ̱c
pac's,pẫc's,pẫ̱c'̰s
paca,pẫcạ,pẫ̱cạ
paccar,pạccầr,pạccầ̱r
paccione,pầcciōnế,pầcciō̱nế
pace,pāce,pā̱cḛ
pace's,pācé's,pā̱cé's
paced,pāced,pā̱ced
pacella,pạcẽllạ,pạcẽ̱llạ
pacelli,pạcẽllï,pạcẽ̱llï
pacemaker,pācemāker,pā̱cḛmā̳ker
pacemakers,pācemākers,pā̱cḛmā̳kers
pacer,pācer,pā̱cer
pacers,pācers,pā̱cers
paces,pācés,pā̱cés
pacesetter,pācẽsetter,pā̱cẽ̳s̰ḛtter
paceway,pāceway,pā̱cḛwa̳y
pacey,pāceÿ,pā̱cḛÿ
pacheco,pạchẽcō,pạchẽ̱cō
pachinko,pạchínkō,pạchí̱nkō
pacholder,pẫchọlder,pẫ̱chọlder
pacholski,pạchōlskï,pạchō̱lskï
pachter,pẫchter,pẫ̱ch̰ter
pachysandra,pẫchýsẫndrạ,pẫ̳chýsẫ̱ndrạ
paci,pầcï,pầ̱cï
pacific,pạcífíc,pạcí̱fíc
pacific's,pạcífíc's,pạcí̱fíc'̰s
pacifica,pạcífícạ,pạcí̱fícạ
pacificare,pạcífícãre,pạcí̱fícã̳rḛ
pacification,pẫcịfịcātiọn,pẫ̳cịfịcā̱tiọn
pacifico,pầcïfïcō,pầcïfï̱cō
pacificorp,pạcífícổrp,pạcí̱fícổrp
pacified,pẫcịfīed,pẫ̱cịfī̳ḛd
pacifier,pẫcịfīer,pẫ̱cịfī̳er
pacifiers,pẫcịfīers,pẫ̱cịfī̳ers
pacifism,pẫcífísm,pẫ̱cífí̳sm
pacifist,pẫcífíst,pẫ̱cífíst
pacifists,pẫcífísts,pẫ̱cífísts
pacify,pẫcịfȳ,pẫ̱cịfȳ̳
pacing,pācíng,pā̱cíng
pacini,pầcïnï,pầcï̱nï
pacino,pạcïnō,pạcï̱nō
pack,pẫck,pẫ̱ck
package,pẫckáge,pẫ̱ckágḛ
package's,pẫckágé's,pẫ̱ckágé's
packaged,pẫckáged,pẫ̱ckágḛd
packager,pẫckáger,pẫ̱ckáger
packagers,pẫckágers,pẫ̱ckágers
packages,pẫckágés,pẫ̱ckágés
packaging,pẫckágíng,pẫ̱ckágíng
packard,pẫckard,pẫ̱ckard
packard's,pẫckard's,pẫ̱ckard's
packed,pẫcked,pẫ̱cked
packer,pẫcker,pẫ̱cker
packers,pẫckers,pẫ̱ckers
packet,pẫckét,pẫ̱ckét
packets,pẫckéts,pẫ̱ckéts
packett,pẫckétt,pẫ̱ckétt
packham,pẫckhạm,pẫ̱ckhạm
packing,pẫckíng,pẫ̱ckíng
packinghouse,pẫckínghouse,pẫ̱ckíngho̳usḛ
packman,pẫckmạn,pẫ̱ckmạn
packs,pẫcks,pẫ̱cks
packwood,pẫckwood,pẫ̱ckwo̳od
packwood's,pẫckwood's,pẫ̱ckwo̳od's
pacman,pẫcmạn,pẫ̱cmạn
paco,pācō,pā̱cō
pacs,pẫcs,pẫ̱cs
pact,pẫct,pẫ̱ct
pact's,pẫct's,pẫ̱ct'̰s
pactel,pẫctẽl,pẫ̱ctẽ̳l
pactel's,pẫctẽl's,pẫ̱ctẽ̳l's
pacto,pẫctō,pẫ̱ctō
pacts,pẫcts,pẫ̱ct̰s
pacyna,pạcÿnạ,pạcÿ̱nạ
paczkowski,pạczkổwskï,pạczkổ̱wskï
pad,pẫd,pẫ̱d
padawan,pầdầwạn,pầ̱dầ̳wạn
paddack,pẫddạck,pẫ̱dd̰ạck
padded,pẫddéd,pẫ̱dd̰éd
padden,pẫddẹn,pẫ̱dd̰ẹn
paddies,pẫddïes,pẫ̱dd̰ïḛs
padding,pẫddíng,pẫ̱dd̰íng
paddington,pẫddíngtọn,pẫ̱dd̰íngtọn
paddle,pẫddle,pẫ̱ddlḛ
paddled,pẫddled,pẫ̱ddlḛd
paddles,pẫddles,pẫ̱ddlḛs
paddling,pẫddlíng,pẫ̱dd̰líng
paddock,pẫddọck,pẫ̱dd̰ọck
paddy,pẫddÿ,pẫ̱dd̰ÿ
paddy's,pẫddÿ's,pẫ̱dd̰ÿ's
paden,pādẹn,pā̱dẹn
paderewski,pầderewskï,pầ̳dere̱wskï
padfield,pẫdfïeld,pẫ̱dfï̳ḛld
padget,pẫdgét,pẫ̱dgét
padgett,pẫdgétt,pẫ̱dgétt
padgitt,pẫdgítt,pẫ̱dgítt
padilla,pạdíllạ,pạdí̱llạ
padley,pẫdleÿ,pẫ̱dlḛÿ
padlock,pẫdlồck,pẫ̱dlồ̳ck
padlocked,pẫdlồcked,pẫ̱dlồ̳cked
padlocks,pẫdlồcks,pẫ̱dlồ̳cks
padmanabhan,pầdmạnầbhạn,pầ̳dmạnầ̱bh̰ạn
padovano,pầdōvầnō,pầdōvầ̱nō
padre,pẫdrē,pẫ̱drē̳
padres,pẫdrēs,pẫ̱drē̳s
padrick,pẫdríck,pẫ̱dríck
padro,pầdrō,pầ̱drō
padron,pẫdrọn,pẫ̱drọn
pads,pẫds,pẫ̱ds
padua,pẫduạ,pẫ̱duạ
paduano,pầdüầnō,pầdüầ̱nō
paducah,pạdücạh,pạdü̱cạh̰
padula,pầdülạ,pầdü̱lạ
pae,pae,pa̱ḛ
paean,paếạn,pa̰ế̱ạn
paeans,paếạns,pa̰ế̱ạns
paek,paếk,pa̰ế̱k
paeth,paếth,pa̰ế̱th
paetz,paếtz,pa̰ế̱tz
paez,paẽz,paẽ̱z
paff,pẫff,pẫ̱ff
pafford,pẫfford,pẫ̱fford
pagan,pāgạn,pā̱gạn
paganelli,pầgầnẽllï,pầgầnẽ̱llï
pagani,pầgầnï,pầgầ̱nï
paganini,pẫgạnïnï,pẫ̳gạnï̱nï
paganism,pāgạnísm,pā̱gạní̳sm
pagano,pầgầnō,pầgầ̱nō
pagar,pẫgar,pẫ̱gar
page,pāge,pā̱gḛ
page's,pāgé's,pā̱gé's
pageant,pẫgeạnt,pẫ̱gḛạnt
pageantry,pẫgeạntrÿ,pẫ̱gḛạntrÿ
pageants,pẫgeạnts,pẫ̱gḛạnts
paged,pāged,pā̱gḛd
pagel,pẫgẹl,pẫ̱gẹl
pagels,pẫgẹls,pẫ̱gẹls
pagemaker,pāgemāker,pā̱gḛmā̳ker
pagenkopf,pẫgẹnkổpf,pẫ̱gẹnkổpf
pager,pāger,pā̱ger
pagers,pāgers,pā̱gers
pages,pāgés,pā̱gés
