word,vens-a,vens-b,vens-c
grateful,grātefụl,grātḛfụl,grā̱tḛfụl
gratefully,grātefụllÿ,grātḛfụllÿ,grā̱tḛfụllÿ
grater,grāter,grāter,grā̱ter
grates,grātes,grātḛs,grā̱tḛs
grathwohl,grẫthwōhl,grẫthwōh̰l,grẫ̱thwō̳h̰l
gratification,grẫtịfịcātiọn,grẫtịfịcātiọn,grẫ̳tịfịcā̱tiọn
gratified,grẫtịfīed,grẫtịfīḛd,grẫ̱tịfī̳ḛd
gratifies,grẫtịfīes,grẫtịfīḛs,grẫ̱tịfī̳ḛs
gratify,grẫtịfȳ,grẫtịfȳ,grẫ̱tịfȳ̳
gratifying,grẫtịfȳíng,grẫtịfȳíng,grẫ̱tịfȳ̳íng
grating,grātíng,grātíng,grā̱tíng
gratis,grẫtịs,grẫtịs,grẫ̱tịs
gratitude,grẫtịtüde,grẫtịtüdḛ,grẫ̱tịtü̳dḛ
grattan,grẫttạn,grẫttạn,grẫ̱ttạn
gratton,grẫttọn,grẫttọn,grẫ̱ttọn
gratuities,grạtüítïes,grạtüítïḛs,grạtü̱ítïḛs
gratuitous,grạtüịtous,grạtüịtous,grạtü̱ịtous
gratuitously,grạtüịtouslÿ,grạtüịtouslÿ,grạtü̱ịtouslÿ
gratuity,grạtüítÿ,grạtüítÿ,grạtü̱ítÿ
gratz,grẫtz,grẫtz,grẫ̱tz
gratzer,grātzer,grātzer,grā̱tzer
grau,grau,grau,gra̱u
grauberger,grauberger,grauberger,gra̱uberger
graue,graüe,gra̰üḛ,gra̰ü̱ḛ
grauel,graüẹl,gra̰üẹl,gra̰ü̱ẹl
grauer,graüer,gra̰üer,gra̰ü̱er
graul,graul,graul,gra̱ul
grauman,graumạn,graumạn,gra̱umạn
graumann,graumạnn,graumạnn,gra̱umạnn
graunke,graunke,graunkḛ,gra̱unkḛ
gravamen,grầvāmẹn,grầvāmẹn,grầvā̱mẹn
gravano,grạvẫnō,grạvẫnō,grạvẫ̱nō
gravatt,grẫvạtt,grẫvạtt,grẫ̱vạtt
grave,grāve,grāvḛ,grā̱vḛ
gravel,grẫvẹl,grẫvẹl,grẫ̱vẹl
graveline,grāvelīne,grāvḛlīnḛ,grā̱vḛlī̳nḛ
gravell,grẫvẹll,grẫvẹll,grẫ̱vẹll
gravelle,grạvẽlle,grạvẽllḛ,grạvẽ̱llḛ
gravelly,grẫvẹllÿ,grẫvẹllÿ,grẫ̱vẹllÿ
gravely,grāvelÿ,grāvḛlÿ,grā̱vḛlÿ
graven,grāvẹn,grāvẹn,grā̱vẹn
graver,grāver,grāver,grā̱ver
graves,grāves,grāvḛs,grā̱vḛs
graves's,grāves's,grāvḛs's,grā̱vḛs's
graveside,grāvesīde,grāvḛsīdḛ,grā̱vḛsī̳dḛ
gravesite,grāvesīte,grāvḛsītḛ,grā̱vḛsī̳tḛ
gravest,grẫvẹst,grẫvẹst,grẫ̱vẹst
gravestone,grāvestōne,grāvḛstōnḛ,grā̱vḛstō̳nḛ
gravestones,grāvestōnes,grāvḛstōnḛs,grā̱vḛstō̳nḛs
gravett,grẫvétt,grẫvétt,grẫ̱vétt
gravette,grạvẽtte,grạvẽttḛ,grạvẽ̱ttḛ
graveyard,grāveyầrd,grāvḛyầrd,grā̱vḛyầ̳rd
graveyards,grāveyầrds,grāvḛyầrds,grā̱vḛyầ̳rds
gravies,grāvïes,grāvïḛs,grā̱vïḛs
gravimeter,grẫvịmếter,grẫvịmếter,grẫ̱vịmế̳ter
gravimetric,grẫvịmẽtríc,grẫvịmẽtríc,grẫ̳vịmẽ̱tríc
gravina,grầvïnạ,grầvïnạ,grầvï̱nạ
gravino,grầvïnō,grầvïnō,grầvï̱nō
gravitas,grẫvịtạs,grẫvịtạs,grẫ̱vịtạs
gravitate,grẫvítāte,grẫvítātḛ,grẫ̱vítā̳tḛ
gravitated,grẫvịtātéd,grẫvịtātéd,grẫ̱vịtā̳téd
gravitates,grẫvítātes,grẫvítātḛs,grẫ̱vítā̳tḛs
gravitating,grẫvítātíng,grẫvítātíng,grẫ̱vítā̳tíng
gravitation,grẫvítātiọn,grẫvítātiọn,grẫ̳vítā̱tiọn
gravitational,grẫvítātiọnạl,grẫvítātiọnạl,grẫ̳vítā̱tiọnạl
gravitationally,grẫvịtātionạllÿ,grẫvịtātio̰nạllÿ,grẫ̳vịtā̱tio̰nạllÿ
gravitt,grẫvítt,grẫvítt,grẫ̱vítt
gravitt's,grẫvítt's,grẫvítt'̰s,grẫ̱vítt'̰s
gravity,grẫvítÿ,grẫvítÿ,grẫ̱vítÿ
gravley,grẫvleÿ,grẫvlḛÿ,grẫ̱vlḛÿ
gravlin,grẫvlín,grẫvlín,grẫ̱vlín
gravois,grạvois,grạvois,grạvois̱
gravy,grāvÿ,grāvÿ,grā̱vÿ
graw,graw,graw,gra̱w
grawe,grawe,grawḛ,gra̱wḛ
gray,gray,gray,gra̱y
gray's,gray's,gray's,gra̱y's
graybeal,graybeạl,graybḛạl,gra̱ybḛạl
graybeard,graybếard,graybếa̰rd,gra̱ybếa̰rd
graybeards,graybếards,graybếa̰rds,gra̱ybếa̰rds
graybill,graybíll,graybíll,gra̱ybí̳ll
graydon,graydọn,graydọn,gra̱ydọn
graye,graye,grayḛ,gra̱yḛ
grayer,grayer,grayer,gra̱yer
grayest,grāýest,grāýḛst,grā̱ýḛst
graying,grayíng,grayíng,gra̱yíng
grayish,grayísh,grayísh,gra̱yísh
grayling,graylíng,graylíng,gra̱ylíng
grays,grays,grays,gra̱ys
grayson,graysọn,graysọn,gra̱ysọn
graze,grāze,grāzḛ,grā̱zḛ
grazed,grāzed,grāzḛd,grā̱zḛd
grazer,grāzer,grāzer,grā̱zer
graziani,grầzïầnï,grầzïầnï,grầzïầ̱nï
graziano,grầzïầnō,grầzïầnō,grầzïầ̱nō
grazier,grāzïer,grāzïer,grā̱zïer
grazing,grāzíng,grāzíng,grā̱zíng
grbavica,grbạvīcạ,grbạvīcạ,gr̳bạvī̱cạ
greaney,greaneÿ,greanḛÿ,gre̱anḛÿ
grear,grear,grear,gre̱ar
grease,grease,greasḛ,gre̱asḛ
greased,greased,greased,gre̱ased
greaser,greaser,greaser,gre̱aser
greasewood,greasewood,greasḛwood,gre̱asḛwo̳od
greasing,greasíng,greasíng,gre̱asíng
greason,greasọn,greasọn,gre̱asọn
greasy,greasÿ,greasÿ,gre̱asÿ
great,greāt,grḛāt,grḛā̱t
great's,greāt's,grḛāt'̰s,grḛā̱t'̰s
great-circle,greāt-circle,grḛāt-̰circlḛ,grḛā̱t-̰ci̱rclḛ
great-grandfather,greāt-grẫndfầther,grḛāt-̰grẫndfầther,grḛā̳t-̰grẫ̱ndfầ̳ther
great-grandmother,greāt-grẫndmòther,grḛāt-̰grẫndmòther,grḛā̳t-̰grẫ̱ndmò̳ther
greater,greāter,grḛāter,grḛā̱ter
greatest,greātẹst,grḛātẹst,grḛā̱tẹst
greathouse,greāthouse,grḛāthousḛ,grḛā̱tho̳usḛ
greatly,greātlÿ,grḛātlÿ,grḛā̱tlÿ
greatness,greātnẹss,grḛātnẹss,grḛā̱tnẹss
greats,greāts,grḛāts,grḛā̱ts
greave,greave,greavḛ,gre̱avḛ
greaves,greaves,greavḛs,gre̱avḛs
greb,grẽb,grẽb,grẽ̱b
grebe,grếbe,grếbḛ,grế̱bḛ
greber,grếber,grếber,grế̱ber
grebner,grẽbner,grẽbner,grẽ̱bner
grecco,grẽccō,grẽccō,grẽ̱ccō
grech,grẽch,grẽch̰,grẽ̱ch̰
grecian,grếciạn,grếciạn,grế̱ciạn
grecko,grẽckō,grẽckō,grẽ̱ckō
greco,grẽcō,grẽcō,grẽ̱cō
greco-roman,grẽcō-rōmạn,grẽcō-̰rōmạn,grẽ̳cō-̰rō̱mạn
grede,grếde,grếdḛ,grế̱dḛ
gredel,grẽdẹl,grẽdẹl,grẽ̱dẹl
greditor,grẽdítor,grẽdítor,grẽ̱dítor
greear,grếear,grếḛar,grế̱ḛar
greece,grếece,grếḛcḛ,grế̱ḛcḛ
greece's,grếecé's,grếḛcé's,grế̱ḛcé's
greed,grếed,grếḛd,grế̱ḛd
greedier,grếedïer,grếḛdïer,grế̳ḛdïer
greediest,grếedïést,grếḛdïést,grế̳ḛdïést
greedily,grếedịlÿ,grếḛdịlÿ,grế̱ḛdịlÿ
greedy,grếedÿ,grếḛdÿ,grế̱ḛdÿ
greek,grếek,grếḛk,grế̱ḛk
greeks,grếeks,grếḛks,grế̱ḛks
greeley,grếeleÿ,grếḛlḛÿ,grế̱ḛlḛÿ
greeleyville,grếeleÿvílle,grếḛlḛÿvíllḛ,grế̱ḛlḛÿvíllḛ
greelieville,grếelïevílle,grếḛlïḛvíllḛ,grế̱ḛlïḛvíllḛ
greely,grếelÿ,grếḛlÿ,grế̱ḛlÿ
green,grếen,grếḛn,grế̱ḛn
green's,grếen's,grếḛn's,grế̱ḛn's
greenan,grếenạn,grếḛnạn,grế̱ḛnạn
greenawalt,grếenạwẩlt,grếḛnạwẩlt,grế̱ḛnạwẩ̳lt
greenaway,grếenạway,grếḛnạway,grế̱ḛnạwa̳y
greenback,grếenbẫck,grếḛnbẫck,grế̱ḛnbẫ̳ck
greenback's,grếenbẫck's,grếḛnbẫck'̰s,grế̱ḛnbẫ̳ck'̰s
greenbacks,grếenbẫcks,grếḛnbẫcks,grế̱ḛnbẫ̳cks
greenbaum,grếenbaum,grếḛnbaum,grế̱ḛnba̳um
greenbelt,grếenbẽlt,grếḛnbẽlt,grế̱ḛnbẽ̳lt
greenberg,grếenberg,grếḛnberg,grế̱ḛnberg
greenberg's,grếenberg's,grếḛnberg's,grế̱ḛnberg's
greenberger,grếenberger,grếḛnberger,grế̱ḛnberger
greenblatt,grếenblạtt,grếḛnblạtt,grế̱ḛnblạtt
greenburg,grếenburg,grếḛnburg,grế̱ḛnburg
greenbury,grếenburÿ,grếḛnburÿ,grế̱ḛnburÿ
greenbush,grếenbŭsh,grếḛnbŭsh,grế̱ḛnbŭsh
greencastle,grếencẫstle,grếḛncẫstlḛ,grế̱ḛncẫ̳stlḛ
greene,grếene,grếḛnḛ,grế̱ḛnḛ
greene's,grếene's,grếḛnḛ's,grế̱ḛnḛ's
greened,grếened,grếḛnḛd,grế̱ḛnḛd
greener,grếener,grếḛner,grế̱ḛner
greenery,grếenerÿ,grếḛnerÿ,grế̱ḛnerÿ
greenest,grếenést,grếḛnést,grế̱ḛnést
greenfeld,grếenfẽld,grếḛnfẽld,grế̱ḛnfẽ̳ld
greenfeld's,grếenfẽld's,grếḛnfẽld's,grế̱ḛnfẽ̳ld's
greenfell,grếenfẽll,grếḛnfẽll,grế̱ḛnfẽ̳ll
greenfell's,grếenfẽll's,grếḛnfẽll's,grế̱ḛnfẽ̳ll's
greenfield,grếenfïeld,grếḛnfïḛld,grế̱ḛnfï̳ḛld
greenfield's,grếenfïeld's,grếḛnfïḛld's,grế̱ḛnfï̳ḛld's
greenhalgh,grếenhàlgh,grếḛnhàlgh̰,grế̱ḛnhà̳lgh̰
greenham,grếenhạm,grếḛnh̰ạm,grế̱ḛnh̰ạm
greenhaw,grếenhaw,grếḛnhaw,grế̱ḛnha̳w
greenhill,grếenhíll,grếḛnhíll,grế̱ḛnhí̳ll
greenhoe,grếenhōe,grếḛnhōḛ,grế̱ḛnhō̳ḛ
greenhouse,grếenhouse,grếḛnhousḛ,grế̱ḛnho̳usḛ
greenhouses,grếenhousẹs,grếḛnhousẹs,grế̱ḛnho̳usẹs
greenhut,grếenhụt,grếḛnhụt,grế̱ḛnhụt
greeniaus,grếenïaus,grếḛnïaus,grế̱ḛnïaus
greenidge,grếenídge,grếḛnídgḛ,grế̱ḛnídgḛ
greening,grếeníng,grếḛníng,grế̱ḛníng
greenish,grếenísh,grếḛnísh,grế̱ḛnísh
greenland,grếenlẫnd,grếḛnlẫnd,grế̱ḛnlẫ̳nd
greenlaw,grếenlaw,grếḛnlaw,grế̱ḛnla̳w
greenleaf,grếenlếaf,grếḛnlếa̰f,grế̱ḛnlế̳a̰f
greenlee,grếenlếe,grếḛnlếḛ,grế̱ḛnlế̳ḛ
greenlees,grếenlếes,grếḛnlếḛs,grế̱ḛnlế̳ḛs
greenley,grếenleÿ,grếḛnlḛÿ,grế̱ḛnlḛÿ
greenly,grếenlÿ,grếḛnlÿ,grế̱ḛnlÿ
greenmail,grếenmail,grếḛnmail,grế̱ḛnma̳il
greenmailer,grếenmailer,grếḛnmailer,grế̱ḛnma̳iler
greenman,grếenmạn,grếḛnmạn,grế̱ḛnmạn
greenness,grếennẹss,grếḛnnẹss,grế̱ḛnnẹss
greeno,grếenō,grếḛnō,grế̱ḛnō
greenough,grếenough,grếḛnough,grế̱ḛnough
greenpeace,grếenpếace,grếḛnpếa̰cḛ,grế̱ḛnpế̳a̰cḛ
greenpeace's,grếenpếacé's,grếḛnpếa̰cé's,grế̱ḛnpế̳a̰cé's
greens,grếens,grếḛns,grế̱ḛns
greens',grếens',grếḛns'̰,grế̱ḛns'̰
greensboro,grếensbọrō,grếḛnsbọrō,grế̱ḛnsbọrō
greensburg,grếensburg,grếḛnsburg,grế̱ḛnsburg
greenshield,grếenshïeld,grếḛnshïḛld,grế̱ḛnshï̳ḛld
greenshields,grếenshïelds,grếḛnshïḛlds,grế̱ḛnshï̳ḛlds
greenslade,grếenslạde,grếḛnslạdḛ,grế̱ḛnslạdḛ
greenslet,grếenslẽt,grếḛnslẽt,grế̱ḛnslẽ̳t
greenspan,grếenspẫn,grếḛnspẫn,grế̱ḛnspẫ̳n
greenspan's,grếenspẫn's,grếḛnspẫn's,grế̱ḛnspẫ̳n's
greenspon,grếenspồn,grếḛnspồn,grế̱ḛnspồ̳n
greenspun,grếenspùn,grếḛnspùn,grế̱ḛnspù̳n
greenstein,grếensteïn,grếḛnstḛïn,grế̱ḛnstḛï̳n
greenstone,grếenstōne,grếḛnstōnḛ,grế̱ḛnstō̳nḛ
greenstreet,grếenstrếet,grếḛnstrếḛt,grế̱ḛnstrế̳ḛt
greenup,grếenùp,grếḛnùp,grế̱ḛnù̳p
greenvale,grếenvāle,grếḛnvālḛ,grế̱ḛnvā̳lḛ
greenville,grếenvílle,grếḛnvíllḛ,grế̱ḛnvíllḛ
greenwald,grếenwẩld,grếḛnwẩld,grế̱ḛnwẩ̳ld
greenwald's,grếenwẩld's,grếḛnwẩld's,grế̱ḛnwẩ̳ld's
greenwalds,grếenwẩlds,grếḛnwẩlds,grế̱ḛnwẩ̳lds
greenwalt,grếenwạlt,grếḛnwạlt,grế̱ḛnwạlt
greenway,grếenway,grếḛnway,grế̱ḛnwa̳y
greenwell,grếenwẽll,grếḛnwẽll,grế̱ḛnwẽ̳ll
greenwich,grếenwích,grếḛnwích,grế̱ḛnwí̳ch
greenwich's,grẽenwích's,grẽḛnw̰ích's,grẽ̱ḛnw̰ích's
greenwood,grếenwood,grếḛnwood,grế̱ḛnwo̳od
greer,greér,grḛér,grḛé̱r
greeson,grếesọn,grếḛsọn,grế̱ḛsọn
greet,grếet,grếḛt,grế̱ḛt
greeted,grếetéd,grếḛtéd,grế̱ḛtéd
greetham,grếethạm,grếḛthạm,grế̱ḛthạm
greeting,grếetíng,grếḛtíng,grế̱ḛtíng
greetings,grếetíngs,grếḛtíngs,grế̱ḛtíngs
greets,grếets,grếḛts,grế̱ḛts
greever,grếever,grếḛver,grế̱ḛver
grefe,grếfe,grếfḛ,grế̱fḛ
greff,grẽff,grẽff,grẽ̱ff
greg,grẽg,grẽg,grẽ̱g
greg's,grẽg's,grẽg's,grẽ̱g's
grega,grếgạ,grếgạ,grế̱gạ
gregarious,grẹgãrïous,grẹgãrïous,grẹgã̱rïous
greger,grẽger,grẽger,grẽ̱ger
gregersen,grẽgersẹn,grẽgersẹn,grẽ̱gersẹn
gregerson,grẽgersọn,grẽgersọn,grẽ̱gersọn
gregg,grẽgg,grẽgg,grẽ̱gg
greggs,grẽggs,grẽggs,grẽ̱ggs
grego,grẽgō,grẽgō,grẽ̱gō
gregoire,grégoire,grégoirḛ,grégoi̱rḛ
gregor,grẽgor,grẽgor,grẽ̱gor
gregori,grẽgổrï,grẽgổrï,grẽgổ̱rï
gregoria,grẽgổrïạ,grẽgổrïạ,grẽgổ̱rïạ
gregorian,grẹgổrïạn,grẹgổrïạn,grẹgổ̱rïạn
gregorich,grẽgorích,grẽgorích̰,grẽ̱gorích̰
gregorie,grẽgorïe,grẽgorïḛ,grẽ̱gorïḛ
gregorio,grégổrïō,grégổrïō,grégổ̱rïō
gregory,grẽgorÿ,grẽgorÿ,grẽ̱gorÿ
gregory's,grẽgorÿ's,grẽgorÿ's,grẽ̱gorÿ's
gregson,grẽgsọn,grẽgsọn,grẽ̱gsọn
gregston,grẽgstọn,grẽgstọn,grẽ̱gstọn
gregus,grếgụs,grếgụs,grế̱gụs
greider,greīder,grḛīder,grḛī̱der
greif,greïf,grḛïf,grḛï̱f
greiff,greīff,grḛīff,grḛī̱ff
greig,greïg,grḛïg,grḛï̱g
greim,greïm,grḛïm,grḛï̱m
greiman,greīmạn,grḛīmạn,grḛī̱mạn
grein,grein,grein,gre̱in
greiner,greīner,grḛīner,grḛī̱ner
greinke,greinke,greinkḛ,gre̱inkḛ
greis,greïs,grḛïs,grḛï̱s
greitz,greītz,grḛītz,grḛī̱tz
greiwe,greïwe,grḛïwḛ,grḛï̱wḛ
grell,grẽll,grẽll,grẽ̱ll
grella,grẽllạ,grẽllạ,grẽ̱llạ
grelle,grẽlle,grẽllḛ,grẽ̱llḛ
gremban,grẽmbẫn,grẽmbẫn,grẽ̱mbẫ̳n
gremillion,grẽmíllïọn,grẽmíllïọn,grẽ̱míllïọn
gremlin,grẽmlịn,grẽmlịn,grẽ̱mlịn
gremlins,grẽmlịns,grẽmlịns,grẽ̱mlịns
gren,grẽn,grẽn,grẽ̱n
grenada,grénầdạ,grénầdạ,grénầ̱dạ
grenade,grẹnāde,grẹnādḛ,grẹnā̱dḛ
grenades,grẹnādes,grẹnādḛs,grẹnā̱dḛs
grenda,grẽndạ,grẽndạ,grẽ̱ndạ
grendel,grẽndẹl,grẽndẹl,grẽ̱ndẹl
grendel's,grẽndẹl's,grẽndẹl's,grẽ̱ndẹl's
grenell,grẽnẹll,grẽnẹll,grẽ̱nẹll
grenfell,grẽnfẹll,grẽnfẹll,grẽ̱nfẹll
grenier,grếnïer,grếnïer,grế̱nïer
greninger,grẽnínger,grẽnínger,grẽ̱nínger
grennan,grẽnnạn,grẽnnạn,grẽ̱nnạn
grenoble,grẹnōble,grẹnōblḛ,grẹnō̱blḛ
grenon,grẽnọn,grẽnọn,grẽ̱nọn
grenouille,grẹnouïlle,grẹnouïl̰l̰ḛ,grẹno̱uïl̰l̰ḛ
grenz,grẽnz,grẽnz,grẽ̱nz
gresh,grẽsh,grẽsh,grẽ̱sh
gresham,grẽshạm,grẽshạm,grẽ̱shạm
gresham's,grẽshạm's,grẽshạm's,grẽ̱shạm's
gresko,grẽskō,grẽskō,grẽ̱skō
gress,grẽss,grẽss,grẽ̱ss
gresser,grẽsser,grẽsser,grẽ̱sser
gressett,grẽssétt,grẽssétt,grẽ̱ssétt
gressley,grẽssleÿ,grẽsslḛÿ,grẽ̱sslḛÿ
gressman,grẽssmạn,grẽssmạn,grẽ̱ssmạn
greta,grếtạ,grếtạ,grế̱tạ
greta's,grếtạ's,grếtạ's,grế̱tạ's
gretal,grẽtạl,grẽtạl,grẽ̱tạl
gretchen,grẽtchẹn,grẽt̰chẹn,grẽ̱t̰chẹn
grete,grếte,grếtḛ,grế̱tḛ
gretel,grẽtẹl,grẽtẹl,grẽ̱tẹl
greth,grẽth,grẽth,grẽ̱th
grethel,grẽthẹl,grẽthẹl,grẽ̱thẹl
grether,grẽther,grẽther,grẽ̱ther
gretna,grẽtnạ,grẽtnạ,grẽ̱tnạ
gretna's,grẽtnạ's,grẽtnạ's,grẽ̱tnạ's
grettenberger,grẽttẹnberger,grẽttẹnberger,grẽ̱ttẹnberger
gretz,grẽtz,grẽtz,grẽ̱tz
gretzinger,grẽtzínger,grẽtzínger,grẽ̱tzínger
gretzky,grẽtzkÿ,grẽtzkÿ,grẽ̱tzkÿ̱
greubel,greubẹl,greubẹl,gre̱ubẹl
greuel,greüẹl,grḛüẹl,grḛü̱ẹl
greulich,greulích,greulích̰,gre̱ulích̰
greunke,greünke,grḛünkḛ,grḛü̱nkḛ
greve,grếve,grếvḛ,grế̱vḛ
grever,grẽver,grẽver,grẽ̱ver
grew,grew,grew,gre̱w
grewal,grewạl,grewạl,gre̱wạl
grewe,grewe,grewḛ,gre̱wḛ
grewell,grẽwẽll,grẽwẽll,grẽ̱wẽll
grey,grey,grey,gre̱y
grey's,grey's,grey's,gre̱y's
greyhound,greyhound,greyhound,gre̱yho̳und
greyhound's,greyhound's,greyhound's,gre̱yho̳und's
greying,greyíng,greyíng,gre̱yíng
greylag,greylẫg,greylẫg,gre̱ylẫ̳g
greystone,greystōne,greystōnḛ,gre̱ystō̳nḛ
gribben,gríbbẹn,gríbbẹn,grí̱bbẹn
gribbin,gríbbín,gríbbín,grí̱bbín
gribbins,gríbbíns,gríbbíns,grí̱bbíns
gribble,gríbble,gríbblḛ,grí̱bblḛ
gribbles,gríbbles,gríbblḛs,grí̱bblḛs
gribbon,gríbbọn,gríbbọn,grí̱bbọn
grice,grīce,grīcḛ,grī̱cḛ
grid,gríd,gríd,grí̱d
grid's,gríd's,gríd's,grí̱d's
grider,grīder,grīder,grī̱der
gridiron,grídīron,grídīro̰n,grí̱dī̳ro̰n
gridley,grídleÿ,grídlḛÿ,grí̱dlḛÿ
gridley's,grídleÿ's,grídlḛÿ's,grí̱dlḛÿ's
gridlock,grídlồck,grídlồck,grí̱dlồ̳ck
gridlock's,grídlồck's,grídlồck'̰s,grí̱dlồ̳ck'̰s
gridlocked,grídlồcked,grídlồcked,grí̱dlồ̳cked
gridlocks,grídlồcks,grídlồcks,grí̱dlồ̳cks
grids,gríds,gríds,grí̱ds
grieb,grïeb,grïḛb,grï̱ḛb
griebel,grïebẹl,grïḛbẹl,grï̱ḛbẹl
grieco,grïecō,grïḛcō,grï̱ḛcō
grieder,grïeder,grïḛder,grï̱ḛder
grief,grïef,grïḛf,grï̱ḛf
grieger,grïeger,grïḛger,grï̱ḛger
griego,grïegō,grïḛgō,grï̱ḛgō
grieme,grïeme,grïḛmḛ,grï̱ḛmḛ
griep,grïep,grïḛp,grï̱ḛp
griepentrog,grïepéntrọg,grïḛpéntrọg,grï̱ḛpéntrọg
grier,grïer,grïḛr,grï̱ḛr
grier's,grïer's,grïḛr's,grï̱ḛr's
grierson,gríersọn,gríḛrsọn,grí̱ḛrsọn
gries,grīes,grīḛs,grī̱ḛs
griesa,grïẽsạ,grïẽsạ,grïẽ̱sạ
griesbach,grïesbầch,grïḛsbầch̰,grï̱ḛsbầch̰
griese,grïese,grïḛsḛ,grï̱ḛsḛ
griesemer,grïesếmer,grïḛsếmer,grï̱ḛsếmer
grieser,grïeser,grïḛser,grï̱ḛser
grieshaber,grïeshạber,grïḛshạber,grï̱ḛshạber
griesinger,grïesínger,grïḛsínger,grï̱ḛsínger
griess,grïess,grïḛss,grï̱ḛss
griesser,grïesser,grïḛsser,grï̱ḛsser
griest,grīést,grīést,grī̱ést
grievance,grïevạnce,grïḛvạncḛ,grï̱ḛvạncḛ
grievances,grïevạncés,grïḛvạncés,grï̱ḛvạncés
grieve,grïeve,grïḛvḛ,grï̱ḛvḛ
grieved,grïeved,grïḛvḛd,grï̱ḛvḛd
griever,grïever,grïḛver,grï̱ḛver
grievers,grïevers,grïḛvers,grï̱ḛvers
grieves,grïeves,grïḛvḛs,grï̱ḛvḛs
grieveson,grïevesọn,grïḛvḛsọn,grï̱ḛvḛsọn
grieving,grïevíng,grïḛvíng,grï̱ḛvíng
grievous,grïevous,grïḛvous,grï̱ḛvous
grievously,grïevouslÿ,grïḛvouslÿ,grï̱ḛvouslÿ
griff,gríff,gríff,grí̱ff
griffee,gríffeế,gríffḛế,grí̱ffḛế
griffen,gríffẹn,gríffẹn,grí̱ffẹn
griffeth,grífféth,grífféth,grí̱fféth
griffey,gríffeÿ,gríffḛÿ,grí̱ffḛÿ
griffey's,gríffeÿ's,gríffḛÿ's,grí̱ffḛÿ's
griffie,gríffïe,gríffïḛ,grí̱ffïḛ
griffin,gríffín,gríffín,grí̱ffín
griffin's,gríffín's,gríffín's,grí̱ffín's
griffing,gríffíng,gríffíng,grí̱ffíng
griffis,gríffís,gríffís,grí̱ffís
griffith,gríffíth,gríffíth,grí̱ffíth
griffith's,gríffíth's,gríffíth'̰s,grí̱ffíth'̰s
griffiths,gríffíths,gríffíths,grí̱ffíths
griffitts,gríffítts,gríffítts,grí̱ffítts
griffo,gríffō,gríffō,grí̱ffō
griffon,gríffọn,gríffọn,grí̱ffọn
griffy,gríffÿ,gríffÿ,grí̱ffÿ
grigas,grīgạs,grīgạs,grī̱gạs
grigg,grígg,grígg,grí̱gg
griggs,gríggs,gríggs,grí̱ggs
griggy,gríggÿ,gríggÿ,grí̱ggÿ
grignon,grígnọn,grígnọn,grí̱gnọn
grigoli,grígōlï,grígōlï,grígō̱lï
grigorovich,grígổrọvích,grígổrọvích,grígổ̱rọvích
grigory,grïgorÿ,grïgorÿ,grï̱gorÿ
grigoryant,grígổryẫnt,grígổryẫnt,grígổ̱ryẫnt
grigoryants,grígổryẫnts,grígổryẫnts,grígổ̱ryẫnts
grigsby,grígsbÿ,grígsbÿ,grí̱gsbÿ
grijalva,grïjầlvạ,grïjầlvạ,grïjầ̱lvạ
grill,gríll,gríll,grí̱ll
grille,grílle,gríllḛ,grí̱llḛ
grilled,grílled,gríllḛd,grí̱llḛd
grilli,gríllï,gríllï,grí̱llï
grilling,gríllíng,gríllíng,grí̱llíng
grilliot,gríllïọt,gríllïọt,grí̱llïọt
grillo,gríllō,gríllō,grí̱llō
grillot,gríllọt,gríllọt,grí̱llọt
grills,grílls,grílls,grí̱lls
grim,grím,grím,grí̱m
grima,grïmạ,grïmạ,grï̱mạ
grimace,grímạce,grímạcḛ,grí̱mạcḛ
grimaced,grímạced,grímạced,grí̱mạced
grimaces,grímạcés,grímạcés,grí̱mạcés
grimacing,grímạcíng,grímạcíng,grí̱mạcíng
grimaldi,grïmầldï,grïmầldï,grïmầ̱ldï
grimaldo,grïmầldō,grïmầldō,grïmầ̱ldō
grime,grīme,grīmḛ,grī̱mḛ
grimes,grīmes,grīmḛs,grī̱mḛs
grimley,grímleÿ,grímlḛÿ,grí̱mlḛÿ
grimly,grímlÿ,grímlÿ,grí̱mlÿ
grimm,grímm,grímm,grí̱mm
grimm's,grímm's,grímm's,grí̱mm's
grimme,grímme,grímmḛ,grí̱mmḛ
grimmer,grímmer,grímmer,grí̱mmer
grimmest,grímmẹst,grímmẹst,grí̱mmẹst
grimmett,grímmétt,grímmétt,grí̱mmétt
grimness,grímnẹss,grímnẹss,grí̱mnẹss
grimshaw,grímshaw,grímshaw,grí̱msha̳w
grimsley,grímsleÿ,grímslḛÿ,grí̱mslḛÿ
grimstad,grímstạd,grímstạd,grí̱mstạd
grimwood,grímwood,grímwood,grí̱mwo̳od
grimy,grīmÿ,grīmÿ,grī̱mÿ
grin,grín,grín,grí̱n
grinage,grínáge,grínágḛ,grí̱nágḛ
grinald,grínầld,grínầld,grínầ̱ld
grinalds,grínầlds,grínầlds,grínầ̱lds
grinberg,grínberg,grínberg,grí̱nberg
grinch,grínch,grínch,grí̱nch
grind,grīnd,grīnd,grī̱nd
grinde,grínde,gríndḛ,grí̱ndḛ
grinder,grīnder,grīnder,grī̱nder
grinders,grīnders,grīnders,grī̱nders
grinding,grīndíng,grīndíng,grī̱ndíng
